ID;Source;Target;Type
1;1009304;2197253;Directed
2;1009304;2197253;Directed
3;1038201;9281812;Directed
4;1038201;7974470;Directed
5;1038201;3689524;Directed
6;1038201;9281812;Directed
7;1038201;3092327;Directed
8;1133807;7963910;Directed
9;1133807;7485710;Directed
10;1133807;3811169;Directed
11;1133807;6741253;Directed
12;1133807;1228956;Directed
13;1133807;6536889;Directed
14;1133807;7974470;Directed
15;1133807;1038201;Directed
16;1133807;7974470;Directed
17;1133807;3689524;Directed
18;1133807;1430017;Directed
19;1166409;5792138;Directed
20;1166409;7113607;Directed
21;1166409;7113607;Directed
22;1166409;1499241;Directed
23;1217023;1320400;Directed
24;1217023;9032409;Directed
25;1217023;8763525;Directed
26;1217023;1320400;Directed
27;1217023;6241782;Directed
28;1217023;9032409;Directed
29;1217023;8763525;Directed
30;1217023;6241782;Directed
31;1228956;9014766;Directed
32;1228956;9014766;Directed
33;1237955;4577047;Directed
34;1237955;7499076;Directed
35;1237955;4577047;Directed
36;1264028;5932329;Directed
37;1264028;6319303;Directed
38;1264028;3811169;Directed
39;1264028;4783774;Directed
40;1264028;6319303;Directed
41;1264028;2757704;Directed
42;1264028;6653810;Directed
43;1264028;3811169;Directed
44;1264028;4783774;Directed
45;1264028;3689524;Directed
46;1264028;9934967;Directed
47;1264028;2757704;Directed
48;1270547;7037273;Directed
49;1270547;4364449;Directed
50;1270547;1326826;Directed
51;1270547;5887392;Directed
52;1326826;2979682;Directed
53;1326826;2938580;Directed
54;1326826;6075178;Directed
55;1326826;1029522;Directed
56;1326826;9035569;Directed
57;1326826;2979682;Directed
58;1424947;5332508;Directed
59;1424947;5332508;Directed
60;1424947;4773617;Directed
61;1424947;7287157;Directed
62;1424947;5376110;Directed
63;1430017;5332508;Directed
64;1489502;1320400;Directed
65;1489502;1320400;Directed
66;1489502;1228956;Directed
67;1529056;3621393;Directed
68;1529056;1133807;Directed
69;1529056;6241782;Directed
70;1529056;3621393;Directed
71;1529056;5497184;Directed
72;1529056;5332508;Directed
73;1529056;9281126;Directed
74;1529056;5332508;Directed
75;1536755;5976088;Directed
76;1536755;7963910;Directed
77;1536755;1228956;Directed
78;1536755;1133807;Directed
79;1979703;6629714;Directed
80;1979703;1320400;Directed
81;1979703;6629714;Directed
82;1979703;9864796;Directed
83;1979703;6241782;Directed
84;1979703;7327941;Directed
85;1979703;9864796;Directed
86;2006881;7485710;Directed
87;2006881;2011484;Directed
88;2006881;6180955;Directed
89;2006881;4180946;Directed
90;2006881;2011484;Directed
91;2006881;4577047;Directed
92;2006881;5771473;Directed
93;2006881;2173453;Directed
94;2062390;4783774;Directed
95;2062390;2091039;Directed
96;2062390;9934967;Directed
97;2062390;1264028;Directed
98;2091039;4783774;Directed
99;2091039;1264028;Directed
100;2091039;7963910;Directed
101;2091039;4536674;Directed
102;2091039;2800187;Directed
103;2091039;5932329;Directed
104;2091039;4783774;Directed
105;2091039;7963910;Directed
106;2091039;2757704;Directed
107;2091039;2800187;Directed
108;2091039;2757704;Directed
109;2091039;1264028;Directed
110;2091039;5932329;Directed
111;2091039;5332508;Directed
112;2091039;4536674;Directed
113;2091039;2317220;Directed
114;2091039;2317220;Directed
115;2091039;5332508;Directed
116;2116859;1264028;Directed
117;2116859;8561843;Directed
118;2116859;2510764;Directed
119;2116859;9103535;Directed
120;2159579;2558400;Directed
121;2159579;1326826;Directed
122;2159579;1264028;Directed
123;2159579;2558400;Directed
124;2173453;2006881;Directed
125;2173453;4180946;Directed
126;2173453;4942132;Directed
127;2173453;4495859;Directed
128;2173453;7485710;Directed
129;2173453;4942132;Directed
130;2296349;1228956;Directed
131;2296349;8322898;Directed
132;2296349;1228956;Directed
133;2296349;2011484;Directed
134;2296349;5332508;Directed
135;2296349;9014766;Directed
136;2296349;6741253;Directed
137;2296349;6741253;Directed
138;2296349;2011484;Directed
139;2296349;5332508;Directed
140;2304388;6319303;Directed
141;2317220;3621393;Directed
142;2317220;3314372;Directed
143;2317303;6629714;Directed
144;2317303;2006881;Directed
145;2317303;8322898;Directed
146;2317303;8292977;Directed
147;2317303;4021440;Directed
148;2317303;9864796;Directed
149;2317303;1228956;Directed
150;2317303;4021440;Directed
151;2317303;9864796;Directed
152;2317303;7963910;Directed
153;2317303;8322898;Directed
154;2358044;4773617;Directed
155;2358044;5976088;Directed
156;2358044;5932329;Directed
157;2358044;1320400;Directed
158;2552986;6075178;Directed
159;2552986;6075178;Directed
160;2552986;2938580;Directed
161;2558568;9864796;Directed
162;2558568;2317303;Directed
163;2558568;1979703;Directed
164;2558568;8322898;Directed
165;2558568;2011484;Directed
166;2558568;2011484;Directed
167;2558568;9864796;Directed
168;2558568;6629714;Directed
169;2558568;6629714;Directed
170;2589890;5932329;Directed
171;2589890;3563274;Directed
172;2589890;5976088;Directed
173;2589890;4783774;Directed
174;2589890;6762725;Directed
175;2589890;6762725;Directed
176;2589890;3563274;Directed
177;2750950;2587958;Directed
178;2750950;4773617;Directed
179;2750950;1228956;Directed
180;2750950;3811169;Directed
181;2750950;5376110;Directed
182;2750950;7287157;Directed
183;2750950;7796481;Directed
184;2750950;7796481;Directed
185;2750950;7287157;Directed
186;2750950;7963910;Directed
187;2750950;7825893;Directed
188;2757704;1264028;Directed
189;2757704;4783774;Directed
190;2800187;7974470;Directed
191;2800187;8301212;Directed
192;2800187;3092327;Directed
193;2800187;3092327;Directed
194;2800187;7974470;Directed
195;2800187;3819028;Directed
196;2896929;2197253;Directed
197;2896929;1298858;Directed
198;2896929;2197253;Directed
199;2896929;2210888;Directed
200;2896929;1298858;Directed
201;2896929;2210888;Directed
202;2907818;5792138;Directed
203;2938580;1298858;Directed
204;2938580;3977168;Directed
205;2938580;6075178;Directed
206;2938580;6075178;Directed
207;2979682;5970359;Directed
208;2979682;1264028;Directed
209;2979682;1312050;Directed
210;2979682;8561843;Directed
211;2979682;7532126;Directed
212;2979682;5970359;Directed
213;2979682;7963910;Directed
214;2979682;7532126;Directed
215;2979682;1312050;Directed
216;2979682;6319303;Directed
217;3044282;3092327;Directed
218;3044282;2800187;Directed
219;3044282;3689524;Directed
220;3044282;1264028;Directed
221;3092327;2800187;Directed
222;3092327;3689524;Directed
223;3092327;2800187;Directed
224;3092327;3689524;Directed
225;3153880;6747741;Directed
226;3153880;1133807;Directed
227;3153880;6812158;Directed
228;3153880;5976088;Directed
229;3153880;3092327;Directed
230;3153880;7974470;Directed
231;3153880;3092327;Directed
232;3189492;3153880;Directed
233;3189492;2173453;Directed
234;3189492;2006881;Directed
235;3189492;7499076;Directed
236;3314372;9714922;Directed
237;3314372;9115403;Directed
238;3314372;7485710;Directed
239;3314372;4021440;Directed
240;3314372;1228956;Directed
241;3314372;1228956;Directed
242;3314372;7485710;Directed
243;3314372;1320400;Directed
244;3316955;5044808;Directed
245;3316955;6536889;Directed
246;3345431;3787365;Directed
247;3345431;1264028;Directed
248;3345431;9115403;Directed
249;3345431;1264028;Directed
250;3345431;6319303;Directed
251;3345431;1326826;Directed
252;3345431;5970359;Directed
253;3345431;6075178;Directed
254;3345431;5970359;Directed
255;3345431;4783774;Directed
256;3345431;6075178;Directed
257;3391329;5463881;Directed
258;3391329;8301212;Directed
259;3391329;3819028;Directed
260;3510359;1326826;Directed
261;3510359;1326826;Directed
262;3510359;7532126;Directed
263;3510359;5052005;Directed
264;3510359;5052005;Directed
265;3563274;6762725;Directed
266;3563274;6762725;Directed
267;3563274;4784808;Directed
268;3621393;9115403;Directed
269;3621393;2587958;Directed
270;3621393;1320400;Directed
271;3672773;6241782;Directed
272;3672773;6241782;Directed
273;3672773;2011484;Directed
274;3672773;8322898;Directed
275;3672773;8292977;Directed
276;3672773;6629714;Directed
277;3672773;9864796;Directed
278;3672773;2006881;Directed
279;3672773;2006881;Directed
280;3689524;6319303;Directed
281;3689524;3092327;Directed
282;3692838;6762725;Directed
283;3692838;5976088;Directed
284;3692838;5976088;Directed
285;3692838;4784808;Directed
286;3692838;6536889;Directed
287;3704795;1326826;Directed
288;3704795;5103148;Directed
289;3704795;2159579;Directed
290;3704795;4999224;Directed
291;3717297;4773617;Directed
292;3717297;1264028;Directed
293;3717297;7963910;Directed
294;3717297;4773617;Directed
295;3717297;3811169;Directed
296;3717297;7796481;Directed
297;3717297;1133807;Directed
298;3717297;4783774;Directed
299;3717297;2091039;Directed
300;3717297;7287157;Directed
301;3811169;6180955;Directed
302;3811169;2800187;Directed
303;3811169;5332508;Directed
304;3811169;4021440;Directed
305;3811169;6812158;Directed
306;3811169;6653810;Directed
307;3811169;5376110;Directed
308;3811169;1133807;Directed
309;3811169;6706993;Directed
310;3811169;7796481;Directed
311;3811169;7287157;Directed
312;3811169;5332508;Directed
313;3811169;4577047;Directed
314;3811169;2800187;Directed
315;3811169;3689524;Directed
316;3811169;1424947;Directed
317;3811169;7499076;Directed
318;3811169;1228956;Directed
319;3811169;1264028;Directed
320;3811169;6241782;Directed
321;3819028;8301212;Directed
322;3819028;5463881;Directed
323;3819028;3153880;Directed
324;3819028;8301212;Directed
325;3893157;1320400;Directed
326;3893157;1228956;Directed
327;3893157;1228956;Directed
328;3893157;1320400;Directed
329;3961358;2672806;Directed
330;3961358;2938580;Directed
331;3961358;5792138;Directed
332;3961358;1499241;Directed
333;3961358;5559993;Directed
334;4265831;2800187;Directed
335;4265831;2800187;Directed
336;4265831;7290951;Directed
337;4265831;7290951;Directed
338;4364449;5970359;Directed
339;4364449;1270547;Directed
340;4364449;7527534;Directed
341;4364449;7527534;Directed
342;4364449;3787365;Directed
343;4364449;5887392;Directed
344;4364449;5887392;Directed
345;4364449;1270547;Directed
346;4364449;7645228;Directed
347;4364449;5970359;Directed
348;4367760;3092327;Directed
349;4367760;8045158;Directed
350;4367760;3689524;Directed
351;4367760;8045158;Directed
352;4367760;3689524;Directed
353;4367760;3092327;Directed
354;4367760;6459639;Directed
355;4405574;5792138;Directed
356;4405574;6496820;Directed
357;4495859;7485710;Directed
358;4495859;4942132;Directed
359;4495859;7485710;Directed
360;4495859;3189492;Directed
361;4536674;2757704;Directed
362;4536674;1264028;Directed
363;4536674;5332508;Directed
364;4536674;4783774;Directed
365;4536674;1264028;Directed
366;4536674;2757704;Directed
367;4536674;5332508;Directed
368;4536674;4783774;Directed
369;4577047;6660159;Directed
370;4577047;6660159;Directed
371;4577047;9120597;Directed
372;4589003;2979682;Directed
373;4589003;2159579;Directed
374;4589003;2938580;Directed
375;4589003;7037273;Directed
376;4589003;2938580;Directed
377;4640533;5976088;Directed
378;4640533;4495859;Directed
379;4640533;4577047;Directed
380;4640533;2800187;Directed
381;4640533;7485710;Directed
382;4640533;1133807;Directed
383;4640533;5976088;Directed
384;4640533;5921072;Directed
385;4682392;6812158;Directed
386;4682392;6812158;Directed
387;4682392;6706993;Directed
388;4682392;6706993;Directed
389;4773617;1228956;Directed
390;4773617;9032409;Directed
391;4773617;6706993;Directed
392;4773617;3811169;Directed
393;4783774;7113607;Directed
394;4783774;2091039;Directed
395;4783774;5932329;Directed
396;4783774;2757704;Directed
397;4784808;6762725;Directed
398;4784808;5044808;Directed
399;4784808;6536889;Directed
400;4784808;6536889;Directed
401;4821494;1228956;Directed
402;4821494;2011484;Directed
403;4821494;5332508;Directed
404;4821494;2011484;Directed
405;4821494;2587958;Directed
406;4821494;6741253;Directed
407;4821494;1228956;Directed
408;4821494;2587958;Directed
409;4821494;5332508;Directed
410;4821494;1536755;Directed
411;4828453;5014623;Directed
412;4828453;7518277;Directed
413;4828453;6536889;Directed
414;4828453;7518277;Directed
415;4828453;9916186;Directed
416;4828453;9916186;Directed
417;4828453;5014623;Directed
418;4942132;4495859;Directed
419;4942132;8322898;Directed
420;4942132;2558568;Directed
421;4942132;8322898;Directed
422;4942132;2173453;Directed
423;4942132;2558568;Directed
424;4942132;7485710;Directed
425;4942132;3189492;Directed
