kerdes	Source	Target	Type	Weight
8	1038201	9281812	Directed	1
2	1038201	2800187	Directed	1
2	1133807	7974470	Directed	1
8	1133807	6180955	Directed	1
2	1133807	3689524	Directed	1
8	1133807	9032409	Directed	1
8	1133807	7963910	Directed	1
2	1133807	2800187	Directed	1
2	1166409	5559993	Directed	1
2	1166409	7113607	Directed	1
2	1217023	9032409	Directed	1
2	1217023	6241782	Directed	1
2	1217023	8763525	Directed	1
2	1228956	7963910	Directed	1
2	1237955	4577047	Directed	1
2	1264028	3811169	Directed	1
8	1264028	2800187	Directed	1
8	1264028	6319303	Directed	1
2	1264028	4783774	Directed	1
8	1264028	5932329	Directed	1
8	1264028	7963910	Directed	1
2	1270547	7037273	Directed	1
2	1270547	1326826	Directed	1
2	1326826	5792138	Directed	1
2	1424947	1264028	Directed	1
2	1424947	6706993	Directed	1
8	1430017	5976088	Directed	1
2	1489502	4021440	Directed	1
2	1489502	5932329	Directed	1
2	1529056	9876007	Directed	1
2	1529056	9115403	Directed	1
8	1529056	1133807	Directed	1
8	1529056	5332508	Directed	1
2	1529056	3621393	Directed	1
2	1536755	5932329	Directed	1
8	1536755	5976088	Directed	1
2	1979703	6629714	Directed	1
8	1979703	1320400	Directed	1
2	2006881	3189492	Directed	1
2	2006881	1536755	Directed	1
2	2006881	6741253	Directed	1
8	2006881	7499076	Directed	1
8	2006881	1237955	Directed	1
2	2062390	1264028	Directed	1
2	2062390	4783774	Directed	1
2	2062390	2091039	Directed	1
2	2091039	1264028	Directed	1
2	2091039	2317220	Directed	1
8	2091039	2800187	Directed	1
8	2091039	5932329	Directed	1
2	2091039	2757704	Directed	1
2	2091039	4536674	Directed	1
8	2091039	5332508	Directed	1
2	2091039	4783774	Directed	1
2	2159579	1326826	Directed	1
2	2159579	2558400	Directed	1
2	2173453	5771473	Directed	1
2	2173453	7485710	Directed	1
8	2296349	5332508	Directed	1
2	2296349	5932329	Directed	1
2	2296349	1228956	Directed	1
2	2304388	6319303	Directed	1
8	2317220	5932329	Directed	1
8	2317303	5932329	Directed	1
8	2317303	7963910	Directed	1
8	2317303	7485710	Directed	1
2	2317303	6629714	Directed	1
8	2358044	5976088	Directed	1
2	2358044	5932329	Directed	1
2	2552986	6075178	Directed	1
2	2558568	1979703	Directed	1
2	2558568	6629714	Directed	1
8	2558568	2011484	Directed	1
8	2558568	4021440	Directed	1
8	2589890	3811169	Directed	1
8	2589890	4783774	Directed	1
8	2589890	1264028	Directed	1
2	2589890	6536889	Directed	1
2	2642317	6195928	Directed	1
2	2750950	3811169	Directed	1
2	2750950	6812158	Directed	1
2	2750950	5976088	Directed	1
8	2750950	7963910	Directed	1
8	2750950	2587958	Directed	1
2	2750950	4773617	Directed	1
8	2750950	9032409	Directed	1
2	2757704	4783774	Directed	1
2	2800187	3153880	Directed	1
8	2800187	1264028	Directed	1
