kerdes;Source;Target;Type;Weight
5;1009304;2552986;Directed;1.0
5;1038201;3689524;Directed;1.0
11;1038201;9281812;Directed;1.0
5;1133807;8301212;Directed;1.0
11;1133807;7963910;Directed;1.0
11;1133807;4495859;Directed;1.0
5;1133807;2800187;Directed;1.0
11;1133807;9742038;Directed;1.0
5;1133807;3689524;Directed;1.0
5;1166409;7113607;Directed;1.0
5;1217023;6241782;Directed;1.0
5;1217023;8763525;Directed;1.0
5;1217023;1320400;Directed;1.0
5;1217023;9032409;Directed;1.0
5;1228956;7963910;Directed;1.0
5;1237955;8759516;Directed;1.0
5;1237955;7499076;Directed;1.0
5;1237955;4577047;Directed;1.0
11;1264028;6319303;Directed;1.0
5;1264028;4783774;Directed;1.0
11;1264028;9032409;Directed;1.0
5;1270547;5887392;Directed;1.0
5;1270547;4364449;Directed;1.0
5;1326826;7037273;Directed;1.0
5;1326826;2979682;Directed;1.0
5;1424947;6706993;Directed;1.0
5;1430017;5332508;Directed;1.0
11;1430017;7963910;Directed;1.0
11;1529056;5332508;Directed;1.0
5;1529056;2587958;Directed;1.0
11;1536755;5976088;Directed;1.0
5;1536755;5932329;Directed;1.0
5;1979703;6629714;Directed;1.0
5;2006881;4495859;Directed;1.0
5;2006881;7485710;Directed;1.0
5;2062390;1264028;Directed;1.0
5;2062390;2091039;Directed;1.0
5;2091039;2757704;Directed;1.0
11;2091039;7963910;Directed;1.0
5;2091039;4783774;Directed;1.0
11;2091039;5332508;Directed;1.0
5;2091039;4536674;Directed;1.0
5;2091039;1264028;Directed;1.0
11;2091039;5932329;Directed;1.0
11;2091039;2800187;Directed;1.0
5;2091039;2317220;Directed;1.0
5;2116859;3345431;Directed;1.0
5;2116859;8477601;Directed;1.0
5;2116859;9103535;Directed;1.0
5;2116859;2979682;Directed;1.0
5;2116859;7037273;Directed;1.0
11;2159579;5976088;Directed;1.0
5;2159579;2979682;Directed;1.0
5;2173453;4495859;Directed;1.0
5;2210888;7532126;Directed;1.0
5;2296349;6741253;Directed;1.0
11;2296349;8322898;Directed;1.0
11;2296349;5332508;Directed;1.0
5;2296349;1228956;Directed;1.0
5;2304388;5695152;Directed;1.0
11;2317303;2006881;Directed;1.0
11;2317303;5932329;Directed;1.0
5;2317303;6629714;Directed;1.0
11;2317303;7485710;Directed;1.0
11;2317303;7963910;Directed;1.0
5;2317303;8322898;Directed;1.0
11;2358044;2800187;Directed;1.0
5;2358044;5932329;Directed;1.0
5;2552986;2938580;Directed;1.0
5;2558568;8322898;Directed;1.0
11;2558568;4021440;Directed;1.0
11;2558568;2011484;Directed;1.0
5;2558568;6629714;Directed;1.0
5;2589890;6536889;Directed;1.0
5;2642317;6656149;Directed;1.0
5;2642317;1312050;Directed;1.0
5;2750950;3811169;Directed;1.0
11;2750950;5332508;Directed;1.0
5;2750950;7499076;Directed;1.0
5;2757704;1264028;Directed;1.0
5;2800187;3689524;Directed;1.0
5;2800187;5463881;Directed;1.0
5;2800187;8301212;Directed;1.0
5;2800187;6747741;Directed;1.0
5;2896929;2210888;Directed;1.0
5;2907818;5559993;Directed;1.0
5;2907818;1326826;Directed;1.0
5;2938580;1326826;Directed;1.0
5;2938580;2979682;Directed;1.0
11;2979682;5976088;Directed;1.0
5;2979682;5695152;Directed;1.0
5;2979682;9103535;Directed;1.0
5;2979682;5792138;Directed;1.0
5;2979682;6319303;Directed;1.0
5;3044282;2800187;Directed;1.0
5;3044282;3689524;Directed;1.0
5;3092327;2800187;Directed;1.0
5;3092327;3689524;Directed;1.0
11;3153880;3811169;Directed;1.0
5;3153880;2800187;Directed;1.0
5;3189492;7485710;Directed;1.0
11;3189492;4577047;Directed;1.0
5;3316955;5044808;Directed;1.0
5;3345431;2979682;Directed;1.0
5;3391329;2800187;Directed;1.0
5;3391329;5463881;Directed;1.0
5;3391329;8301212;Directed;1.0
5;3510359;7532126;Directed;1.0
5;3510359;1312050;Directed;1.0
5;3563274;4784808;Directed;1.0
5;3621393;5932329;Directed;1.0
5;3621393;3314372;Directed;1.0
5;3672773;6629714;Directed;1.0
11;3672773;6241782;Directed;1.0
5;3689524;2800187;Directed;1.0
5;3692838;4784808;Directed;1.0
11;3692838;5976088;Directed;1.0
5;3704795;9103535;Directed;1.0
5;3704795;8712790;Directed;1.0
11;3717297;5932329;Directed;1.0
5;3717297;4773617;Directed;1.0
5;3717297;3811169;Directed;1.0
5;3811169;6653810;Directed;1.0
11;3811169;5932329;Directed;1.0
5;3811169;5976088;Directed;1.0
5;3811169;1264028;Directed;1.0
11;3811169;2800187;Directed;1.0
11;3811169;6629714;Directed;1.0
5;3819028;8301212;Directed;1.0
5;3819028;5463881;Directed;1.0
11;3893157;5332508;Directed;1.0
5;3961358;7113607;Directed;1.0
11;4265831;2800187;Directed;1.0
5;4265831;7290951;Directed;1.0
5;4364449;1270547;Directed;1.0
5;4364449;5790621;Directed;1.0
5;4364449;8406186;Directed;1.0
5;4364449;2979682;Directed;1.0
5;4367760;3819028;Directed;1.0
5;4367760;8301212;Directed;1.0
5;4367760;2800187;Directed;1.0
5;4367760;3391329;Directed;1.0
5;4367760;5463881;Directed;1.0
5;4405574;7113607;Directed;1.0
5;4495859;7485710;Directed;1.0
11;4536674;5332508;Directed;1.0
5;4536674;2757704;Directed;1.0
5;4536674;1264028;Directed;1.0
5;4536674;4783774;Directed;1.0
5;4577047;1237955;Directed;1.0
5;4577047;6653810;Directed;1.0
5;4577047;8759516;Directed;1.0
5;4577047;7499076;Directed;1.0
5;4589003;2979682;Directed;1.0
11;4640533;7485710;Directed;1.0
11;4640533;9120597;Directed;1.0
5;4640533;5976088;Directed;1.0
5;4682392;6706993;Directed;1.0
5;4682392;3811169;Directed;1.0
5;4682392;5976088;Directed;1.0
5;4767899;7485710;Directed;1.0
11;4773617;1217023;Directed;1.0
5;4773617;1264028;Directed;1.0
5;4783774;5976088;Directed;1.0
5;4783774;1264028;Directed;1.0
11;4783774;6180955;Directed;1.0
5;4784808;6536889;Directed;1.0
5;4821494;6741253;Directed;1.0
5;4821494;7963910;Directed;1.0
11;4828453;9916186;Directed;1.0
5;4828453;6536889;Directed;1.0
11;4942132;8322898;Directed;1.0
5;4942132;7485710;Directed;1.0
5;4942132;3189492;Directed;1.0
5;4942132;7421940;Directed;1.0
11;4942132;2558568;Directed;1.0
5;4954850;8406186;Directed;1.0
5;4954850;5559993;Directed;1.0
5;4954850;1970614;Directed;1.0
5;4954850;7113607;Directed;1.0
5;4999224;5052005;Directed;1.0
5;4999224;9120597;Directed;1.0
5;4999224;6058752;Directed;1.0
11;5014623;1264028;Directed;1.0
5;5014623;5044808;Directed;1.0
